experiment_id,phase,phase_name,model,square_id,params,reasoning,val_mae,val_mape,val_rmse,train_seconds,predict_seconds
P1-ets-001,1,baseline,ets,5161,"{""seasonal_periods"": 144, ""trend"": null, ""seasonal"": ""add"", ""damped_trend"": false}","Establish baseline performance with literature-inspired defaults (daily seasonality period 144 for ETS/NNs, sequence length one day for NNs). Model=ets; default params={""damped_trend"": false, ""seasonal"": ""add"", ""seasonal_periods"": 144, ""trend"": null}.",326.68104681049215,29.623298955096306,486.44782571823754,0.8465145379886962,0.013131567000527866
P1-lstm-002,1,baseline,lstm,5161,"{""seq_len"": 144, ""epochs"": 15, ""batch_size"": 64, ""lr"": 0.001, ""hidden"": 64, ""layers"": 2, ""early_stopping"": true, ""patience"": 3, ""holdout_intervals"": 144, ""min_delta"": 1e-05}","Establish baseline performance with literature-inspired defaults (daily seasonality period 144 for ETS/NNs, sequence length one day for NNs). Model=lstm; default params={""batch_size"": 64, ""early_stopping"": true, ""epochs"": 15, ""hidden"": 64, ""holdout_intervals"": 144, ""layers"": 2, ""lr"": 0.001, ""min_delta"": 1e-05, ""patience"": 3, ""seq_len"": 144}.",2035.6356170162019,327.9200277489402,2436.2627092050393,118.37596340899472,2.5461518230004003
P1-tcn-003,1,baseline,tcn,5161,"{""seq_len"": 144, ""epochs"": 15, ""batch_size"": 64, ""lr"": 0.001, ""channels"": 32, ""early_stopping"": true, ""patience"": 3, ""holdout_intervals"": 144, ""min_delta"": 1e-05}","Establish baseline performance with literature-inspired defaults (daily seasonality period 144 for ETS/NNs, sequence length one day for NNs). Model=tcn; default params={""batch_size"": 64, ""channels"": 32, ""early_stopping"": true, ""epochs"": 15, ""holdout_intervals"": 144, ""lr"": 0.001, ""min_delta"": 1e-05, ""patience"": 3, ""seq_len"": 144}.",2645.919221838561,672.7370164481611,3003.8593741339973,8.617830716000753,0.974633055011509
P2-ets-004,2,grid_search,ets,5161,"{""seasonal_periods"": 144, ""trend"": null, ""seasonal"": ""add"", ""damped_trend"": false}","Systematic grid search on validation week (Dec 9–15) to tune capacity and learning rate without touching the held-out test week. Model=ets; params={""damped_trend"": false, ""seasonal"": ""add"", ""seasonal_periods"": 144, ""trend"": null}.",326.68104681049215,29.623298955096306,486.44782571823754,1.8092129269934958,0.026154717997997068
P2-ets-005,2,grid_search,ets,5161,"{""seasonal_periods"": 144, ""trend"": null, ""seasonal"": ""add"", ""damped_trend"": true}","Systematic grid search on validation week (Dec 9–15) to tune capacity and learning rate without touching the held-out test week. Model=ets; params={""damped_trend"": true, ""seasonal"": ""add"", ""seasonal_periods"": 144, ""trend"": null}.",326.68104681049215,29.623298955096306,486.44782571823754,1.7864718140044715,0.026636194001184776
P2-ets-006,2,grid_search,ets,5161,"{""seasonal_periods"": 144, ""trend"": ""add"", ""seasonal"": ""add"", ""damped_trend"": false}","Systematic grid search on validation week (Dec 9–15) to tune capacity and learning rate without touching the held-out test week. Model=ets; params={""damped_trend"": false, ""seasonal"": ""add"", ""seasonal_periods"": 144, ""trend"": ""add""}.",1777.1919349453774,297.7501357809125,2125.1141430441035,3.958748506003758,0.10706489099538885
P2-ets-007,2,grid_search,ets,5161,"{""seasonal_periods"": 144, ""trend"": ""add"", ""seasonal"": ""add"", ""damped_trend"": true}","Systematic grid search on validation week (Dec 9–15) to tune capacity and learning rate without touching the held-out test week. Model=ets; params={""damped_trend"": true, ""seasonal"": ""add"", ""seasonal_periods"": 144, ""trend"": ""add""}.",314.6854531870751,23.484799278793453,477.51860278195,3.130989786994178,0.10002200400049333
P2-lstm-008,2,grid_search,lstm,5161,"{""seq_len"": 72, ""epochs"": 10, ""batch_size"": 64, ""lr"": 0.001, ""hidden"": 32, ""layers"": 2, ""early_stopping"": true, ""patience"": 3, ""holdout_intervals"": 144, ""min_delta"": 1e-05}","Systematic grid search on validation week (Dec 9–15) to tune capacity and learning rate without touching the held-out test week. Model=lstm; params={""batch_size"": 64, ""early_stopping"": true, ""epochs"": 10, ""hidden"": 32, ""holdout_intervals"": 144, ""layers"": 2, ""lr"": 0.001, ""min_delta"": 1e-05, ""patience"": 3, ""seq_len"": 72}.",1190.526275388888,189.92250498240816,1423.6762271394462,19.330239262999385,1.5877521829970647
P2-lstm-009,2,grid_search,lstm,5161,"{""seq_len"": 72, ""epochs"": 10, ""batch_size"": 64, ""lr"": 0.0005, ""hidden"": 32, ""layers"": 2, ""early_stopping"": true, ""patience"": 3, ""holdout_intervals"": 144, ""min_delta"": 1e-05}","Systematic grid search on validation week (Dec 9–15) to tune capacity and learning rate without touching the held-out test week. Model=lstm; params={""batch_size"": 64, ""early_stopping"": true, ""epochs"": 10, ""hidden"": 32, ""holdout_intervals"": 144, ""layers"": 2, ""lr"": 0.0005, ""min_delta"": 1e-05, ""patience"": 3, ""seq_len"": 72}.",1379.3222839872094,295.51358885974577,1527.7058702800286,20.528098092006985,1.5716742490039906
P2-lstm-010,2,grid_search,lstm,5161,"{""seq_len"": 72, ""epochs"": 15, ""batch_size"": 64, ""lr"": 0.001, ""hidden"": 32, ""layers"": 2, ""early_stopping"": true, ""patience"": 3, ""holdout_intervals"": 144, ""min_delta"": 1e-05}","Systematic grid search on validation week (Dec 9–15) to tune capacity and learning rate without touching the held-out test week. Model=lstm; params={""batch_size"": 64, ""early_stopping"": true, ""epochs"": 15, ""hidden"": 32, ""holdout_intervals"": 144, ""layers"": 2, ""lr"": 0.001, ""min_delta"": 1e-05, ""patience"": 3, ""seq_len"": 72}.",1406.8336205854666,328.31511611717696,1589.9006490484082,24.429056050008512,1.5978993479948258
